customer_id,signup_date,age,city,acquisition_channel,employment_type,monthly_income,active_lending_relationships,kyc_status,primary_product,total_transactions,total_transaction_amount,last_transaction_date,total_tickets,high_risk_tickets,days_since_last_transaction,churn,churn_probability,annual_revenue
CUST100032,,26.0,Hyderabad,Google Ads,Self-Employed,67831.0,4,Verified,Savings Account,16,36436.5,2025-01-22,2,1,-114.0,0,0.02,10200
CUST100033,,41.0,Delhi,Paid Social,,59388.0,4,Incomplete,Salary Account,7,14085.93,,3,2,,1,0.91,10200
CUST100034,,25.0,Mumbai,Referral,Self-Employed,46808.0,0,Verified,Fixed Deposit,40,116334.17,2024-07-30,1,0,62.0,0,0.01,10200
CUST100035,,41.0,Mumbai,Referral,Gig Worker,47701.0,4,Verified,Personal Loan,47,415804.91,2024-11-30,0,0,-61.0,0,0.02,10200
CUST100036,,31.0,Delhi,Referral,Student,49135.0,1,Pending,Fixed Deposit,22,38470.0,2025-11-28,0,0,-424.0,0,0.0,10200
CUST100037,2022-03-20,27.0,Mumbai,In-App Promo,Salaried,47771.0,1,Pending,Personal Loan,43,87740.37,2024-03-29,1,0,185.0,1,0.99,10200
CUST100038,,29.0,Hyderabad,In-App Promo,,65101.0,1,,Bnpl,10,20780.08,,1,1,,1,0.94,10200
CUST100039,,23.0,Ahmedabad,Referral,,90098.0,6,Verified,Salary Account,51,147442.43,2025-11-25,0,0,-421.0,0,0.04,10200
CUST100040,,18.0,Kolkata,In-App Promo,Student,54337.0,0,Verified,Personal Loan,47,105766.29,2025-08-31,1,1,-335.0,0,0.01,10200
CUST100041,,31.0,Pune,Referral,Student,44184.0,1,Verified,Fixed Deposit,55,175946.31,2025-08-31,1,0,-335.0,0,0.0,10200
CUST100042,,29.0,Ahmedabad,Referral,Salaried,62538.0,0,Verified,Bnpl,6,11010.42,2024-12-30,1,1,-91.0,0,0.06,10200
CUST100043,,33.0,Ahmedabad,Organic,Gig Worker,54815.0,0,Pending,Fixed Deposit,48,1287268.4,2024-04-29,0,0,154.0,1,1.0,10200
CUST100044,2022-10-29,40.0,Mumbai,In-App Promo,Self-Employed,73798.0,0,Verified,Salary Account,7,14815.42,,1,0,,1,0.91,10200
CUST100045,,24.0,Chennai,Paid Social,Gig Worker,89600.0,2,Incomplete,Credit Card,37,99586.65,2024-03-27,1,0,187.0,1,0.95,10200
CUST100046,,35.0,Mumbai,Referral,Gig Worker,109761.0,0,Verified,Credit Card,27,91690.65,2025-10-31,0,0,-396.0,0,0.0,10200
CUST100047,,27.0,Mumbai,Paid Social,Gig Worker,78079.0,0,Verified,Credit Card,19,33232.77,2024-11-27,0,0,-58.0,0,0.17,10200
CUST100048,,31.0,Mumbai,Paid Social,Gig Worker,42413.0,2,Verified,Personal Loan,28,77716.58,2025-03-27,1,0,-178.0,0,0.0,10200
CUST100049,,31.0,Mumbai,Paid Social,Student,45861.0,0,Verified,Savings Account,7,256343.38,2024-02-27,5,1,216.0,1,0.94,10200
CUST100050,,22.0,Mumbai,Organic,Gig Worker,66839.0,2,Verified,Salary Account,37,121815.64,2025-06-28,0,0,-271.0,0,0.01,10200
CUST100051,,35.0,Kolkata,Referral,Gig Worker,50976.0,0,Verified,Credit Card,18,33865.7,2025-07-31,3,1,-304.0,0,0.0,10200
CUST100052,,24.0,Chennai,Referral,Salaried,46948.0,5,Verified,Fixed Deposit,36,104859.29,2025-01-31,3,1,-123.0,0,0.01,10200
CUST100053,,28.0,Hyderabad,Referral,,68903.0,2,Verified,Fixed Deposit,4,11606.29,2024-01-22,0,0,252.0,1,0.99,10200
CUST100054,,32.0,Bengaluru,Referral,Gig Worker,87678.0,1,Verified,Credit Card,19,42896.5,2025-10-26,1,0,-391.0,0,0.0,10200
CUST100055,2025-08-27,28.0,Mumbai,Paid Social,,49853.0,4,Verified,Savings Account,51,130350.9,2025-10-30,1,0,-395.0,0,0.0,10200
CUST100056,,33.0,Mumbai,Organic,,74545.0,1,Verified,Fixed Deposit,41,130819.54,2024-05-31,0,0,122.0,1,0.98,10200
CUST100057,2023-09-30,41.0,Mumbai,In-App Promo,,33321.0,4,Verified,Salary Account,21,38464.28,2024-03-31,2,2,183.0,1,1.0,10200
CUST100058,,33.0,Hyderabad,Referral,Self-Employed,63661.0,2,Verified,Savings Account,21,45440.49,2024-11-28,0,0,-59.0,0,0.02,10200
CUST100059,,30.0,Kolkata,Paid Social,Salaried,76185.0,0,Verified,Bnpl,57,98261.71,2025-01-30,0,0,-122.0,0,0.0,10200
CUST100060,,33.0,Mumbai,Paid Social,Gig Worker,37141.0,0,,Fixed Deposit,17,54525.03,2024-04-27,1,1,156.0,1,0.98,10200
CUST100061,,32.0,Kolkata,Affiliate,,24578.0,2,Verified,Bnpl,57,140996.02,2025-08-29,0,0,-333.0,0,0.01,10200
CUST100062,,21.0,Chennai,Affiliate,Self-Employed,71413.0,2,Verified,Personal Loan,45,104543.37,2024-05-30,0,0,123.0,1,0.98,10200
CUST100063,2023-07-20,24.0,Pune,Paid Social,Student,26739.0,3,Pending,Fixed Deposit,52,132334.29,2025-10-31,1,1,-396.0,0,0.0,10200
CUST100064,,38.0,Pune,Paid Social,Gig Worker,65319.0,2,Verified,Fixed Deposit,27,52878.71,2024-10-31,2,1,-31.0,0,0.02,10200
CUST100065,,24.0,Bengaluru,Paid Social,Self-Employed,58646.0,1,Verified,Fixed Deposit,38,72073.75,2025-08-31,1,0,-335.0,0,0.02,10200
CUST100066,2023-04-18,23.0,Hyderabad,In-App Promo,,34604.0,6,Verified,Personal Loan,35,86690.94,2024-03-27,0,0,187.0,1,1.0,10200
CUST100067,,38.0,Pune,Paid Social,,49010.0,2,Incomplete,Fixed Deposit,43,97531.27,2025-09-25,3,1,-360.0,0,0.0,10200
CUST100068,,31.0,Mumbai,Affiliate,Self-Employed,91338.0,2,Verified,Fixed Deposit,42,88296.9,2024-03-30,0,0,184.0,1,0.98,10200
CUST100069,,19.0,Pune,Affiliate,Self-Employed,54136.0,2,Verified,Savings Account,42,105800.4,2025-11-27,0,0,-423.0,0,0.0,10200
CUST100070,,22.0,Mumbai,In-App Promo,Salaried,67061.0,5,Verified,Savings Account,4,7448.23,2024-09-21,0,0,9.0,0,0.11,10200
CUST100071,,30.0,Mumbai,Referral,Self-Employed,54863.0,6,Pending,Salary Account,41,295259.04,2024-05-29,0,0,124.0,1,0.93,10200
CUST100072_OLD,2023-09-18,24.0,Ahmedabad,Organic,Gig Worker,17128.0,4,Verified,Credit Card,0,0.0,,0,0,,1,0.97,10200
CUST100073,2022-12-22,23.0,Mumbai,Organic,Self-Employed,42175.0,2,Verified,Salary Account,28,60449.9,2025-11-30,1,0,-426.0,0,0.0,10200
CUST100074,,32.0,Pune,Paid Social,,64632.0,2,Verified,Personal Loan,50,179596.99,2025-11-27,0,0,-423.0,0,0.0,10200
CUST100075,,32.0,Mumbai,Paid Social,Self-Employed,34776.0,7,Incomplete,Fixed Deposit,14,31053.09,,2,1,,1,0.91,10200
CUST100076,,31.0,Bengaluru,Google Ads,Self-Employed,26425.0,4,Verified,Personal Loan,11,20169.34,,1,1,,1,0.94,10200
CUST100077,2025-05-09,37.0,Pune,Affiliate,Gig Worker,81654.0,2,Incomplete,Savings Account,29,74588.51,2025-03-30,2,0,-181.0,0,0.0,10200
CUST100078,,19.0,Mumbai,Affiliate,Salaried,31554.0,3,Verified,Bnpl,52,513135.23,2024-03-27,0,0,187.0,1,0.98,10200
CUST100079,,33.0,Ahmedabad,Paid Social,Gig Worker,61430.0,4,Incomplete,Bnpl,21,57282.34,2024-04-28,1,0,155.0,1,0.94,10200
CUST100080,,35.0,Hyderabad,In-App Promo,Student,151318.0,3,Verified,Salary Account,58,244055.14,2025-07-30,1,0,-303.0,0,0.02,10200
CUST100081,2024-11-19,41.0,Ahmedabad,Referral,Salaried,79705.0,3,Verified,Credit Card,45,131323.69,2025-06-29,1,0,-272.0,0,0.02,10200
CUST100082,2024-06-24,28.0,Hyderabad,Paid Social,Salaried,73974.0,1,Verified,Fixed Deposit,26,80494.18000000001,2025-03-31,1,0,-182.0,0,0.0,10200
CUST100083,,32.0,Bengaluru,Google Ads,Gig Worker,54863.0,0,Incomplete,Fixed Deposit,19,51096.14,2025-01-28,1,1,-120.0,0,0.02,10200
CUST100084,,49.0,Ahmedabad,Referral,Gig Worker,12000.0,0,Verified,Credit Card,35,91877.31,2024-06-30,3,3,92.0,1,0.8,10200
CUST100085,,27.0,Hyderabad,Affiliate,Gig Worker,57004.0,0,,Bnpl,36,88172.23,2025-10-29,0,0,-394.0,0,0.0,10200
CUST100086,2023-07-02,27.0,Mumbai,Google Ads,Student,82223.0,0,Verified,Bnpl,50,122222.21,2025-10-31,1,0,-396.0,0,0.0,10200
CUST100087,,43.0,Mumbai,Paid Social,Gig Worker,58213.0,0,Verified,Bnpl,27,45303.02,2024-12-30,1,0,-91.0,0,0.0,10200
CUST100088,,25.0,Kolkata,Organic,Gig Worker,54863.0,0,Verified,Fixed Deposit,3,5857.48,,0,0,,1,0.97,10200
CUST100089,2024-06-20,50.0,Chennai,Google Ads,Salaried,101085.0,2,Verified,Savings Account,12,21053.96,2025-09-27,2,1,-362.0,0,0.01,10200
CUST100090,,18.0,Pune,Referral,Self-Employed,59661.0,3,Verified,Credit Card,7,20098.37,,1,0,,1,0.9,10200
CUST100091,2025-01-13,27.0,Delhi,Paid Social,,13271.0,0,Verified,Credit Card,13,41347.51,2025-03-25,1,0,-176.0,0,0.03,10200
CUST100092,2025-12-12,35.0,Pune,Affiliate,Salaried,76643.0,1,Verified,Fixed Deposit,32,76906.16,2024-08-29,0,0,32.0,0,0.02,10200
CUST100093,,28.0,Mumbai,Referral,Student,47053.0,0,Pending,Salary Account,15,30051.27,,5,4,,1,0.7,10200
CUST100094,,45.0,Mumbai,Google Ads,Salaried,65124.0,2,Verified,Credit Card,46,114152.25,2025-03-30,1,0,-181.0,0,0.0,10200
CUST100095,,34.0,Chennai,Affiliate,Student,96283.0,2,Verified,Personal Loan,20,58831.15,2025-11-23,0,0,-419.0,0,0.01,10200
CUST100096,2024-09-16,18.0,Mumbai,Affiliate,Gig Worker,42894.0,1,Verified,Credit Card,4,5554.66,,1,1,,1,0.97,10200
CUST100097,,30.0,Kolkata,In-App Promo,Student,101800.0,0,,Fixed Deposit,1,569.56,2024-08-29,5,2,32.0,0,0.13,10200
CUST100098,,18.0,Bengaluru,Paid Social,Self-Employed,29390.0,0,Verified,Bnpl,49,129384.42,2024-01-29,2,0,245.0,1,0.99,10200
CUST100099,,18.0,Bengaluru,Referral,Gig Worker,22495.0,2,Verified,Personal Loan,27,73809.96,2025-07-31,2,0,-304.0,0,0.0,10200
CUST100100,,27.0,Ahmedabad,In-App Promo,,58268.0,1,Incomplete,Credit Card,3,5493.17,,1,0,,1,0.96,10200
CUST100101,2024-01-20,31.0,Mumbai,Paid Social,Self-Employed,113699.0,4,Pending,Bnpl,1,1160.81,,3,1,,1,0.86,10200
CUST100102,,23.0,Ahmedabad,Affiliate,Salaried,66552.0,0,Verified,Bnpl,40,309903.4,2025-04-27,1,1,-209.0,0,0.02,10200
CUST100103,2025-08-19,29.0,Mumbai,Paid Social,,56522.0,2,Incomplete,Salary Account,12,36553.58,2025-05-22,1,1,-234.0,0,0.01,10200
CUST100104,,31.0,Mumbai,Affiliate,Gig Worker,71553.0,1,Verified,Savings Account,18,68578.7,2025-08-29,2,0,-333.0,0,0.03,10200
CUST100105,,26.0,Hyderabad,Google Ads,Gig Worker,107782.0,1,Verified,Bnpl,28,74938.3,2024-09-30,2,0,0.0,0,0.0,10200
CUST100106,,29.0,Chennai,Paid Social,,54863.0,6,Verified,Personal Loan,20,58194.75,2024-04-30,2,0,153.0,1,0.97,10200
CUST100107,,27.0,Mumbai,In-App Promo,Student,60189.0,1,Verified,Credit Card,9,17951.25,2024-07-27,2,1,65.0,0,0.34,10200
CUST100108,,26.0,Mumbai,Paid Social,Self-Employed,54863.0,0,Verified,Personal Loan,49,124201.06,2024-10-29,1,0,-29.0,0,0.0,10200
CUST100109,2025-05-05,38.0,Ahmedabad,Paid Social,Self-Employed,91313.0,4,Verified,Salary Account,28,54059.86,2025-04-29,0,0,-211.0,0,0.02,10200
CUST100110,2022-09-27,37.0,Ahmedabad,Google Ads,Student,70740.0,0,Pending,Savings Account,28,51748.55,2025-04-30,2,0,-212.0,0,0.05,10200
CUST100111,2024-12-13,35.0,Mumbai,In-App Promo,Self-Employed,37246.0,3,Verified,Credit Card,39,103474.35,2024-08-29,1,0,32.0,0,0.01,10200
CUST100112,,30.0,Delhi,Paid Social,,57933.0,1,Verified,Bnpl,19,56701.96,,2,1,,1,0.93,10200
CUST100113,2024-06-27,25.0,Chennai,Referral,Gig Worker,84048.0,5,Verified,Fixed Deposit,2,7260.69,,1,1,,1,0.95,10200
CUST100114,,29.0,Mumbai,Google Ads,Self-Employed,82469.0,3,Verified,Personal Loan,48,765743.6900000001,2024-12-29,0,0,-90.0,0,0.12,10200
CUST100115,,27.0,Mumbai,Referral,Salaried,61540.0,4,Pending,Fixed Deposit,43,131243.84,2024-10-31,0,0,-31.0,0,0.01,10200
CUST100116,,41.0,Delhi,Referral,Gig Worker,55525.0,1,Verified,Personal Loan,15,44788.8,2024-09-26,2,2,4.0,0,0.05,10200
CUST100117,,29.0,Mumbai,Paid Social,Salaried,76349.0,0,Pending,Savings Account,52,132200.53,2024-08-29,0,0,32.0,0,0.04,10200
CUST100118,,33.0,Mumbai,In-App Promo,Salaried,51746.0,5,Verified,Credit Card,19,45828.65,2024-08-30,1,0,31.0,0,0.05,10200
CUST100119,,46.0,Kolkata,Paid Social,,81630.0,1,Verified,Savings Account,13,34196.23,2024-12-27,1,0,-88.0,0,0.15,10200
CUST100120,2025-02-14,22.0,Hyderabad,Organic,,24645.0,2,,Fixed Deposit,21,28042.51,2025-05-31,1,0,-243.0,0,0.01,10200
CUST100121,,37.0,Mumbai,Affiliate,Self-Employed,71676.0,3,Verified,Personal Loan,47,106005.23,2025-01-31,2,0,-123.0,0,0.0,10200
CUST100122,,30.0,Mumbai,Referral,Self-Employed,54863.0,0,Verified,Bnpl,14,510859.3,2025-11-27,2,2,-423.0,0,0.0,10200
CUST100123,,18.0,Delhi,Google Ads,Student,99260.0,4,Verified,Savings Account,32,107902.63,2025-10-26,0,0,-391.0,0,0.01,10200
CUST100124,,24.0,Mumbai,Referral,Salaried,46965.0,0,Verified,Credit Card,31,966237.89,2024-01-29,1,0,245.0,1,0.98,10200
CUST100125,,35.0,Delhi,Paid Social,Gig Worker,88947.0,0,Verified,Bnpl,62,511040.79,2024-04-30,1,0,153.0,1,0.93,10200
CUST100126,,32.0,Mumbai,Referral,Self-Employed,42326.0,0,Verified,Salary Account,21,55852.03,2025-05-26,3,2,-238.0,0,0.0,10200
CUST100127,,35.0,Pune,Paid Social,Gig Worker,76813.0,0,Verified,Bnpl,6,6267.9400000000005,2025-03-22,0,0,-173.0,0,0.03,10200
CUST100128,,19.0,Mumbai,Referral,Gig Worker,19813.0,3,Incomplete,Bnpl,59,124548.62,2025-11-29,1,0,-425.0,0,0.01,10200
CUST100129,,25.0,Delhi,Referral,Self-Employed,89002.0,0,Pending,Personal Loan,49,119978.41,2025-08-27,0,0,-331.0,0,0.0,10200
CUST100130,,33.0,Kolkata,Referral,Gig Worker,91883.0,1,Verified,Personal Loan,8,12371.41,2024-03-28,2,1,186.0,1,0.95,10200
CUST100131,,28.0,Ahmedabad,Paid Social,,54885.0,1,Verified,Fixed Deposit,19,41433.19,2024-07-31,1,1,61.0,0,0.03,10200
CUST100132,,33.0,Mumbai,Organic,,54863.0,3,Verified,Fixed Deposit,20,38858.77,2024-11-29,1,1,-60.0,0,0.1,10200
CUST100133,,34.0,Mumbai,Paid Social,,57221.0,1,Verified,Fixed Deposit,6,13620.62,2025-05-27,6,4,-239.0,0,0.05,10200
CUST100134,,36.0,Mumbai,Paid Social,Student,44969.0,0,Pending,Savings Account,4,16188.37,,3,1,,1,0.98,10200
CUST100135,,31.0,Bengaluru,In-App Promo,Salaried,54863.0,7,Verified,Bnpl,11,27872.72,,0,0,,1,0.77,10200
CUST100136,,31.0,Chennai,Referral,,35674.0,6,Verified,Salary Account,58,118816.53,2024-07-24,1,0,68.0,0,0.04,10200
CUST100137,,49.0,Ahmedabad,Paid Social,Self-Employed,65155.0,2,Verified,Bnpl,14,28950.94,,0,0,,1,0.93,10200
CUST100138,,48.0,Hyderabad,Referral,Student,35816.0,2,Verified,Fixed Deposit,28,63536.5,2025-04-29,0,0,-211.0,0,0.0,10200
CUST100139,2023-11-14,30.0,Bengaluru,Referral,Student,79407.0,2,Verified,Salary Account,41,119817.11,2024-02-29,0,0,214.0,1,1.0,10200
CUST100140,,24.0,Bengaluru,In-App Promo,Gig Worker,54863.0,1,Verified,Bnpl,9,33679.86,,0,0,,1,0.96,10200
CUST100141,,39.0,Mumbai,Paid Social,Gig Worker,12000.0,0,Verified,Personal Loan,6,8826.78,,1,0,,1,0.99,10200
CUST100142,2025-01-10,33.0,Pune,Organic,Self-Employed,101904.0,1,Verified,Bnpl,20,45914.32,2025-07-29,1,0,-302.0,0,0.02,10200
CUST100143,,35.0,Kolkata,Google Ads,Gig Worker,79263.0,0,Verified,Fixed Deposit,6,13945.42,,1,0,,1,1.0,10200
CUST100144,,20.0,Delhi,Referral,Self-Employed,100786.0,5,,Credit Card,5,16326.72,2025-02-27,5,2,-150.0,0,0.08,10200
CUST100145,,30.0,Delhi,Organic,,47944.0,3,,Credit Card,15,49171.93,,3,1,,1,0.88,10200
CUST100146,2025-12-27,18.0,Bengaluru,Google Ads,Salaried,88846.0,6,Verified,Savings Account,29,82387.97,2025-01-31,1,0,-123.0,0,0.0,10200
CUST100147,,33.0,Chennai,Affiliate,,61968.0,1,Verified,Salary Account,37,85888.22,2024-07-31,0,0,61.0,0,0.01,10200
CUST100148,,18.0,Hyderabad,Referral,,54863.0,0,Verified,Salary Account,45,122688.58,2025-06-30,2,0,-273.0,0,0.01,10200
CUST100149,,33.0,Mumbai,In-App Promo,Self-Employed,62558.0,7,Verified,Salary Account,55,101279.87,2024-01-31,0,0,243.0,1,0.95,10200
CUST100150,,31.0,Mumbai,Paid Social,Student,56174.0,3,Verified,Fixed Deposit,31,62515.23,2025-08-28,0,0,-332.0,0,0.01,10200
CUST100151,2022-05-09,28.0,Bengaluru,Organic,Salaried,15021.0,0,Verified,Credit Card,29,85089.14,2024-10-31,0,0,-31.0,0,0.03,10200
CUST100152,,31.0,Mumbai,Referral,,67860.0,0,Verified,Savings Account,58,146336.62,2025-06-30,1,0,-273.0,0,0.0,10200
CUST100153,2024-11-05,39.0,Mumbai,Google Ads,Salaried,93534.0,1,Verified,Bnpl,3,9980.15,,1,0,,1,0.98,10200
CUST100154,,33.0,Mumbai,Referral,Gig Worker,54863.0,1,,Savings Account,10,21617.44,2024-06-26,2,1,96.0,1,0.95,10200
CUST100155,,31.0,Kolkata,Paid Social,Student,93781.0,4,Verified,Fixed Deposit,30,61994.15,2024-03-31,0,0,183.0,1,1.0,10200
CUST100156,,47.0,Mumbai,Google Ads,Salaried,54863.0,4,Verified,Salary Account,55,98885.36,2025-05-31,1,0,-243.0,0,0.0,10200
CUST100157,,22.0,Ahmedabad,Affiliate,Gig Worker,48272.0,0,,Fixed Deposit,28,58198.3,2025-02-27,1,1,-150.0,0,0.01,10200
CUST100158,,36.0,Bengaluru,In-App Promo,Salaried,89215.0,2,Pending,Credit Card,30,63178.03,2024-04-27,0,0,156.0,1,0.99,10200
CUST100159,,27.0,Delhi,Paid Social,,46442.0,0,Verified,Credit Card,51,135912.27,2024-10-31,1,0,-31.0,0,0.01,10200
CUST100160,,39.0,Delhi,Affiliate,Salaried,12000.0,1,Verified,Bnpl,2,3324.1,,1,1,,1,1.0,10200
CUST100161,,38.0,Mumbai,Paid Social,Student,51573.0,1,Verified,Savings Account,3,4895.4800000000005,,1,0,,1,1.0,10200
CUST100162,,43.0,Mumbai,Referral,,56852.0,1,Verified,Salary Account,8,23907.870000000003,,3,0,,1,0.94,10200
CUST100163,,38.0,Kolkata,Referral,Self-Employed,63267.0,5,Verified,Savings Account,47,416377.86,2025-08-28,0,0,-332.0,0,0.0,10200
CUST100164,,18.0,Mumbai,In-App Promo,Student,53611.0,1,Verified,Fixed Deposit,48,117275.02,2024-12-31,0,0,-92.0,0,0.0,10200
CUST100165,,30.0,Bengaluru,Paid Social,Student,65077.0,1,Verified,Bnpl,6,16340.12,,0,0,,1,0.98,10200
CUST100166,,20.0,Chennai,Paid Social,Self-Employed,54863.0,0,Incomplete,Fixed Deposit,50,121196.23,2025-05-31,1,0,-243.0,0,0.01,10200
CUST100167,,22.0,Bengaluru,Affiliate,Self-Employed,67191.0,1,Verified,Personal Loan,11,45729.43,2025-03-27,2,1,-178.0,0,0.04,10200
CUST100168,2022-09-23,30.0,Pune,Google Ads,Gig Worker,78878.0,2,Verified,Bnpl,25,60308.47,2025-09-29,0,0,-364.0,0,0.02,10200
CUST100169,2025-08-08,27.0,Ahmedabad,Paid Social,Gig Worker,54863.0,0,Verified,Personal Loan,23,76940.84,2024-04-30,3,2,153.0,1,0.97,10200
CUST100170,2024-06-05,26.0,Mumbai,In-App Promo,,35178.0,0,Verified,Salary Account,42,112556.55,2025-01-30,2,1,-122.0,0,0.0,10200
CUST100171,2023-08-05,19.0,Bengaluru,Google Ads,Self-Employed,50211.0,1,Verified,Bnpl,20,60345.49,2025-10-29,1,1,-394.0,0,0.0,10200
CUST100172,,46.0,Mumbai,Affiliate,Student,55881.0,0,Verified,Fixed Deposit,56,165515.72,2025-03-31,0,0,-182.0,0,0.01,10200
CUST100173,,35.0,Kolkata,In-App Promo,Salaried,85115.0,0,Pending,Savings Account,26,678947.01,2024-09-28,0,0,2.0,0,0.02,10200
CUST100174,,30.0,Kolkata,Referral,Salaried,49475.0,3,Verified,Personal Loan,51,133579.51,2024-09-25,1,0,5.0,0,0.0,10200
CUST100175,,25.0,Chennai,Affiliate,Salaried,69487.0,0,Verified,Credit Card,30,73941.52,2025-01-27,1,0,-119.0,0,0.0,10200
CUST100176,2024-01-29,28.0,Delhi,Google Ads,Student,12000.0,2,Verified,Salary Account,34,75406.81,2024-06-23,1,0,99.0,1,0.99,10200
CUST100177,,25.0,Bengaluru,Paid Social,Gig Worker,12000.0,3,Verified,Personal Loan,16,29417.89,,2,2,,1,0.8,10200
CUST100178,,35.0,Kolkata,In-App Promo,Student,62781.0,1,Verified,Bnpl,31,96502.31,2024-04-26,1,0,157.0,1,0.99,10200
