customer_id_clean,will_churn,churn_probability_latent
CUST100144,1,0.57
CUST100145,1,0.47000000000000003
CUST100146,0,0.42
CUST100147,0,0.2
CUST100148,0,0.2
CUST100149,0,0.42
CUST100150,0,0.42
CUST100151,0,0.12
CUST100152,0,0.2
CUST100153,0,0.12
CUST100154,1,0.35000000000000003
CUST100155,0,0.42
CUST100156,0,0.24
CUST100157,0,0.35000000000000003
CUST100158,0,0.27
CUST100159,0,0.3
CUST100160,0,0.12
CUST100161,0,0.3
CUST100162,1,0.2
CUST100163,0,0.42
CUST100164,0,0.2
CUST100165,1,0.3
CUST100166,0,0.37
CUST100167,0,0.12
CUST100168,0,0.2
CUST100169,0,0.3
CUST100170,0,0.2
CUST100171,0,0.12
CUST100172,0,0.2
CUST100173,0,0.27
CUST100174,0,0.24
CUST100175,0,0.12
CUST100176,0,0.2
CUST100177,1,0.42
CUST100178,0,0.2
CUST100179,1,0.2
CUST100180,0,0.3
CUST100181,0,0.12
CUST100182,0,0.2
CUST100183,1,0.12
CUST100184,0,0.2
CUST100185,0,0.42
CUST100186,0,0.2
CUST100187,0,0.3
CUST100188,0,0.2
CUST100189,0,0.22
CUST100190,0,0.3
CUST100191,1,0.5
CUST100192,1,0.5
CUST100193,0,0.2
CUST100194,1,0.6499999999999999
CUST100195,0,0.12
CUST100196,0,0.2
CUST100197,1,0.27
CUST100198,1,0.12
CUST100199,1,0.3
CUST100200,0,0.12
CUST100201,0,0.2
CUST100202,0,0.12
CUST100203,0,0.42
CUST100204,1,0.5
CUST100205,0,0.33999999999999997
CUST100206,0,0.22
CUST100207,0,0.33999999999999997
CUST100208,1,0.22
CUST100209,0,0.42
CUST100210,0,0.2
CUST100211,0,0.2
CUST100212,0,0.3
CUST100213,0,0.2
CUST100214,1,0.22
CUST100215,0,0.2
CUST100216,1,0.2
CUST100217,0,0.47000000000000003
CUST100218,0,0.33999999999999997
CUST100219,1,0.24
CUST100220,0,0.32
CUST100221,0,0.27
CUST100222,1,0.2
CUST100223,1,0.2
CUST100224,0,0.12
CUST100225,0,0.2
CUST100226,0,0.27
CUST100227,0,0.12
CUST100228,1,0.2
CUST100229,1,0.57
CUST100230,0,0.6499999999999999
CUST100231,0,0.2
CUST100232,0,0.39
CUST100233,1,0.32
CUST100234,0,0.33999999999999997
CUST100235,0,0.3
CUST100236,1,0.35000000000000003
CUST100237,0,0.2
CUST100238,0,0.2
CUST100239,0,0.52
CUST100240,1,0.45
CUST100241,1,0.2
CUST100242,0,0.2
CUST100243,0,0.22
CUST100244,0,0.2
CUST100245,0,0.22
CUST100246,0,0.2
CUST100247,1,0.5
CUST100248,0,0.3
CUST100249,1,0.22
CUST100250,0,0.12
CUST100251,1,0.3
CUST100252,1,0.22
CUST100253,0,0.22
CUST100254,0,0.24
CUST100255,1,0.12
CUST100256,0,0.12
CUST100257,0,0.42
CUST100258,0,0.2
CUST100259,1,0.2
CUST100260,0,0.12
CUST100261,1,0.6699999999999999
CUST100262,1,0.33999999999999997
CUST100263,1,0.42
CUST100264,0,0.37
CUST100265,0,0.45
CUST100266,0,0.5
CUST100267,0,0.2
CUST100268,0,0.45
CUST100269,0,0.32
CUST100270,1,0.2
CUST100271,0,0.57
CUST100272,0,0.2
CUST100273,0,0.12
CUST100274,1,0.12
CUST100275,0,0.12
CUST100276,0,0.22
CUST100277,0,0.12
CUST100278,0,0.12
CUST100279,0,0.33999999999999997
CUST100280,0,0.2
CUST100281,0,0.32
CUST100282,1,0.37
CUST100283,1,0.22
CUST100284,1,0.2
CUST100285,0,0.49
CUST100286,0,0.12
CUST100287,0,0.12
CUST100288,0,0.12
CUST100289,1,0.3
CUST100290,0,0.6
CUST100291,0,0.47000000000000003
CUST100292,0,0.2
CUST100293,0,0.3
CUST100294,0,0.45
CUST100295,1,0.2
CUST100296,0,0.45
CUST100297,0,0.2
CUST100298,0,0.42
CUST100299,0,0.12
CUST100300,0,0.57
CUST100301,0,0.47000000000000003
CUST100302,1,0.12
CUST100303,0,0.2
CUST100304,0,0.12
CUST100305,0,0.5
CUST100306,1,0.5
CUST100307,0,0.2
CUST100308,0,0.35000000000000003
CUST100309,1,0.2
CUST100310,0,0.24
CUST100311,0,0.42
CUST100312,1,0.27
CUST100313,1,0.2
CUST100314,0,0.12
CUST100315,0,0.24
CUST100316,1,0.47000000000000003
CUST100317,0,0.12
CUST100318,0,0.12
CUST100319,0,0.12
CUST100320,0,0.32
CUST100321,0,0.12
CUST100322,0,0.45
CUST100323,0,0.24
CUST100324,0,0.24
CUST100325,0,0.33999999999999997
CUST100326,0,0.35000000000000003
CUST100327,0,0.24
CUST100328,0,0.45
CUST100329,0,0.32
CUST100330,0,0.2
CUST100331,1,0.57
CUST100332,0,0.2
CUST100333,1,0.2
CUST100334,0,0.5
CUST100335,0,0.6499999999999999
CUST100336,0,0.2
CUST100337,0,0.2
CUST100338,0,0.35000000000000003
CUST100339,1,0.27
CUST100340,1,0.35000000000000003
CUST100341,1,0.6
CUST100342,0,0.2
CUST100343,1,0.27
CUST100344,0,0.35000000000000003
CUST100345,1,0.52
CUST100346,0,0.2
CUST100347,0,0.2
CUST100348,0,0.47000000000000003
CUST100349,1,0.3
CUST100350,1,0.32
CUST100351,0,0.2
CUST100352,0,0.33999999999999997
CUST100353,0,0.2
CUST100354,0,0.3
CUST100355,0,0.12
CUST100356,0,0.12
CUST100357,0,0.2
CUST100358,0,0.2
CUST100359,1,0.39
CUST100360,0,0.2
CUST100361,0,0.22
CUST100362,0,0.12
CUST100363,0,0.37
CUST100364,0,0.12
CUST100365,1,0.3
CUST100366,1,0.12
CUST100367,0,0.32
CUST100368,0,0.35000000000000003
CUST100369,1,0.42
CUST100370,0,0.35000000000000003
CUST100371,1,0.12
CUST100372,0,0.32
CUST100373,1,0.42
CUST100374,1,0.22
CUST100375,1,0.42
CUST100376,0,0.2
CUST100377,0,0.35000000000000003
CUST100378,1,0.42
CUST100379,0,0.2
CUST100380,1,0.6
CUST100381,0,0.2
CUST100382,0,0.24
CUST100383,0,0.12
CUST100384,1,0.47000000000000003
CUST100385,1,0.47000000000000003
CUST100386,1,0.57
CUST100387,0,0.45
CUST100388,0,0.3
CUST100389,0,0.2
CUST100390,1,0.6499999999999999
CUST100391,1,0.2
CUST100392,0,0.42
CUST100393,1,0.22
CUST100394,0,0.2
CUST100395,0,0.2
CUST100396,0,0.37
CUST100397,0,0.2
CUST100398,1,0.2
CUST100399,1,0.2
CUST100400,1,0.35000000000000003
CUST100401,0,0.5
CUST100402,0,0.2
CUST100403,0,0.42
CUST100404,0,0.3
CUST100405,0,0.12
CUST100406,0,0.12
CUST100407,1,0.2
CUST100408,0,0.2
CUST100409,0,0.3
CUST100410,1,0.2
CUST100411,0,0.27
CUST100412,0,0.3
CUST100413,0,0.12
CUST100414,1,0.32
CUST100415,0,0.32
CUST100416,1,0.12
CUST100417,0,0.24
CUST100418,1,0.47000000000000003
CUST100419,1,0.2
CUST100420,0,0.2
CUST100421,0,0.22
CUST100422,1,0.2
CUST100423,0,0.12
CUST100424,0,0.2
CUST100425,1,0.45
CUST100426,0,0.35000000000000003
CUST100427,0,0.32
CUST100428,1,0.6499999999999999
CUST100429,1,0.6499999999999999
CUST100430,1,0.22
CUST100431,0,0.12
CUST100432,0,0.2
CUST100433,1,0.3
CUST100434,0,0.12
CUST100435,0,0.12
CUST100436,0,0.2
CUST100437,1,0.27
CUST100438,0,0.57
CUST100439,0,0.42
CUST100440,0,0.3
CUST100441,0,0.57
CUST100442,0,0.47000000000000003
CUST100443,0,0.35000000000000003
CUST100444,1,0.35000000000000003
CUST100445,0,0.22
CUST100446,0,0.12
CUST100447,0,0.2
CUST100448,0,0.12
CUST100449,0,0.12
CUST100450,1,0.2
CUST100451,0,0.42
CUST100452,0,0.3
CUST100453,0,0.12
CUST100454,1,0.2
CUST100455,0,0.22
CUST100456,0,0.3
CUST100457,0,0.45
CUST100458,1,0.2
CUST100459,0,0.5
CUST100460,0,0.12
CUST100461,0,0.3
CUST100462,0,0.12
CUST100463,0,0.2
CUST100464,0,0.2
CUST100465,0,0.32
CUST100466,0,0.47000000000000003
CUST100467,0,0.35000000000000003
CUST100468,0,0.2
CUST100469,0,0.27
CUST100470,0,0.6
CUST100471,1,0.5
CUST100472,0,0.2
CUST100473,0,0.37
CUST100474,0,0.12
CUST100475,0,0.42
CUST100476,0,0.12
CUST100477,1,0.47000000000000003
CUST100478,0,0.12
CUST100479,0,0.12
CUST100480,1,0.5
CUST100481,1,0.2
CUST100482,0,0.27
CUST100483,1,0.2
CUST100484,0,0.22
CUST100485,0,0.2
CUST100486,0,0.35000000000000003
CUST100487,1,0.57
CUST100488,0,0.22
CUST100489,0,0.12
CUST100490,1,0.2
CUST100491,1,0.32
CUST100492,0,0.2
CUST100493,0,0.12
CUST100494,0,0.12
CUST100495,0,0.12
CUST100496,0,0.2
CUST100497,0,0.35000000000000003
CUST100498,0,0.2
CUST100499,0,0.42
CUST100500,0,0.3
CUST100501,1,0.47000000000000003
CUST100502,1,0.3
CUST100503,0,0.2
CUST100504,0,0.22
CUST100505,0,0.2
CUST100506,0,0.22
CUST100507,1,0.2
CUST100508,0,0.12
CUST100509,0,0.22
CUST100510,0,0.2
CUST100511,0,0.35000000000000003
CUST100512,0,0.12
CUST100513,0,0.35000000000000003
CUST100514,0,0.6499999999999999
CUST100515,0,0.57
CUST100516,0,0.3
CUST100517,0,0.2
CUST100518,0,0.2
CUST100519,0,0.2
CUST100520,0,0.39
CUST100521,1,0.24
CUST100522,0,0.33999999999999997
CUST100523,0,0.2
CUST100524,0,0.3
CUST100525,1,0.52
CUST100526,1,0.24
CUST100527,0,0.32
CUST100528,0,0.12
CUST100529,1,0.2
CUST100530,0,0.2
CUST100531,1,0.35000000000000003
CUST100532,0,0.47000000000000003
CUST100533,0,0.32
CUST100534,0,0.35000000000000003
CUST100535,1,0.2
CUST100536,1,0.7499999999999999
CUST100537,1,0.2
CUST100538,0,0.42
CUST100539,1,0.12
CUST100540,0,0.12
CUST100541,0,0.22
CUST100542,1,0.32
CUST100543,0,0.45
CUST100544,1,0.2
CUST100545,0,0.2
CUST100546,1,0.35000000000000003
CUST100547,0,0.12
CUST100548,0,0.57
CUST100549,0,0.12
CUST100550,0,0.27
CUST100551,0,0.12
CUST100552,1,0.5
CUST100553,0,0.2
CUST100554,0,0.3
CUST100555,0,0.2
CUST100556,1,0.3
CUST100557,1,0.3
CUST100558,0,0.2
CUST100559,0,0.24
CUST100560,0,0.3
CUST100561,0,0.2
CUST100562,0,0.2
CUST100563,0,0.35000000000000003
CUST100564,1,0.24
CUST100565,1,0.2
CUST100566,0,0.2
CUST100567,1,0.45
CUST100568,0,0.12
CUST100569,1,0.35000000000000003
CUST100570,0,0.12
CUST100571,0,0.2
CUST100572,1,0.39
CUST100573,0,0.2
CUST100574,0,0.12
CUST100575,1,0.3
CUST100576,0,0.33999999999999997
CUST100577,0,0.2
CUST100578,0,0.2
CUST100579,0,0.2
CUST100580,0,0.35000000000000003
CUST100581,0,0.2
CUST100582,0,0.2
CUST100583,1,0.12
CUST100584,0,0.3
CUST100585,1,0.35000000000000003
CUST100586,0,0.57
CUST100587,0,0.2
CUST100588,0,0.2
CUST100589,0,0.22
CUST100590,1,0.32
CUST100591,0,0.33999999999999997
CUST100592,0,0.24
CUST100593,0,0.12
CUST100594,0,0.33999999999999997
CUST100595,1,0.47000000000000003
CUST100596,0,0.27
CUST100597,1,0.22
CUST100598,1,0.27
CUST100599,0,0.45
CUST100600,0,0.5
CUST100601,0,0.2
CUST100602,1,0.27
CUST100603,0,0.2
CUST100604,0,0.12
CUST100605,0,0.47000000000000003
CUST100606,0,0.12
CUST100607,0,0.32
CUST100608,0,0.12
CUST100609,0,0.2
CUST100610,1,0.3
CUST100611,0,0.22
CUST100612,0,0.3
CUST100613,0,0.47000000000000003
CUST100614,0,0.2
CUST100615,0,0.2
CUST100616,1,0.35000000000000003
CUST100617,1,0.47000000000000003
CUST100618,0,0.2
CUST100619,0,0.2
CUST100620,1,0.47000000000000003
CUST100621,0,0.22
CUST100622,0,0.2
CUST100623,0,0.3
CUST100624,1,0.45
CUST100625,0,0.22
CUST100626,1,0.33999999999999997
CUST100627,0,0.32
CUST100628,0,0.24
CUST100629,0,0.2
CUST100630,1,0.2
CUST100631,1,0.2
CUST100632,1,0.32
CUST100633,0,0.2
CUST100634,0,0.32
CUST100635,0,0.5
CUST100636,0,0.2
CUST100637,0,0.2
CUST100638,0,0.32
CUST100639,0,0.22
CUST100640,0,0.24
CUST100641,0,0.45
CUST100642,0,0.2
CUST100643,0,0.3
CUST100644,0,0.2
CUST100645,0,0.12
CUST100646,0,0.22
CUST100647,1,0.2
CUST100648,0,0.12
CUST100649,0,0.22
CUST100650,0,0.12
CUST100651,0,0.12
CUST100652,1,0.39
CUST100653,0,0.12
CUST100654,0,0.2
CUST100655,0,0.27
CUST100656,0,0.2
CUST100657,0,0.3
CUST100658,0,0.32
CUST100659,0,0.27
CUST100660,1,0.35000000000000003
CUST100661,0,0.2
CUST100662,1,0.2
CUST100663,0,0.3
CUST100664,1,0.2
CUST100665,0,0.22
CUST100666,0,0.2
CUST100667,1,0.32
CUST100668,1,0.57
CUST100669,1,0.12
CUST100670,0,0.12
CUST100671,0,0.27
CUST100672,0,0.2
CUST100673,1,0.32
CUST100674,0,0.2
CUST100675,1,0.47000000000000003
CUST100676,0,0.42
CUST100677,0,0.2
CUST100678,0,0.2
CUST100679,0,0.12
CUST100680,0,0.39
CUST100681,0,0.12
CUST100682,0,0.2
CUST100683,1,0.37
CUST100684,0,0.12
CUST100685,0,0.12
CUST100686,0,0.12
CUST100687,0,0.2
CUST100688,1,0.35000000000000003
CUST100689,1,0.32
CUST100690,0,0.2
CUST100691,1,0.35000000000000003
CUST100692,1,0.12
CUST100693,0,0.24
CUST100694,0,0.22
CUST100695,0,0.52
CUST100696,1,0.2
CUST100697,0,0.12
CUST100698,1,0.6
CUST100699,0,0.2
CUST100700,1,0.12
CUST100701,0,0.2
CUST100702,0,0.12
CUST100703,1,0.32
CUST100704,0,0.42
CUST100705,0,0.5
CUST100706,0,0.35000000000000003
CUST100707,0,0.2
CUST100708,1,0.37
CUST100709,0,0.32
CUST100710,1,0.24
CUST100711,0,0.42
CUST100712,0,0.42
CUST100713,0,0.39
CUST100714,1,0.2
CUST100715,1,0.35000000000000003
CUST100716,0,0.3
CUST100717,0,0.3
CUST100718,0,0.3
CUST100719,0,0.2
CUST100720,0,0.45
CUST100721,0,0.2
CUST100722,0,0.12
CUST100723,1,0.12
CUST100724,0,0.47000000000000003
CUST100725,0,0.12
CUST100726,0,0.32
CUST100727,0,0.2
CUST100728,0,0.2
CUST100729,1,0.52
CUST100730,1,0.3
CUST100731,1,0.35000000000000003
CUST100732,0,0.35000000000000003
CUST100733,0,0.33999999999999997
CUST100734,0,0.35000000000000003
CUST100735,0,0.2
CUST100736,0,0.49
CUST100737,0,0.37
CUST100738,1,0.3
CUST100739,1,0.2
CUST100740,1,0.32
CUST100741,0,0.2
CUST100742,0,0.24
CUST100743,0,0.35000000000000003
CUST100744,0,0.32
CUST100745,1,0.32
CUST100746,0,0.2
CUST100747,0,0.12
CUST100748,0,0.3
CUST100749,0,0.2
CUST100750,1,0.22
CUST100751,0,0.3
CUST100752,1,0.7499999999999999
CUST100753,0,0.22
CUST100754,0,0.12
CUST100755,0,0.39
CUST100756,0,0.27
CUST100757,0,0.35000000000000003
CUST100758,1,0.3
CUST100759,1,0.27
CUST100760,0,0.12
CUST100761,0,0.35000000000000003
CUST100762,0,0.2
CUST100763,1,0.24
CUST100764,0,0.12
CUST100765,0,0.12
CUST100766,1,0.42
CUST100767,0,0.3
CUST100768,0,0.3
CUST100769,0,0.2
CUST100770,0,0.37
CUST100771,1,0.6499999999999999
CUST100772,0,0.33999999999999997
CUST100773,0,0.2
CUST100774,1,0.24
CUST100775,1,0.6
CUST100776,0,0.5
CUST100777,0,0.22
CUST100778,1,0.12
CUST100779,0,0.2
CUST100780,1,0.45
CUST100781,0,0.35000000000000003
CUST100782,0,0.2
CUST100783,0,0.22
CUST100784,0,0.2
CUST100785,0,0.12
CUST100786,0,0.3
CUST100787,1,0.35000000000000003
CUST100788,0,0.12
CUST100789,0,0.2
CUST100790,0,0.5
CUST100791,0,0.2
CUST100792,0,0.2
CUST100793,1,0.35000000000000003
CUST100794,1,0.32
CUST100795,0,0.45
CUST100796,1,0.27
CUST100797,0,0.32
CUST100798,0,0.12
CUST100799,1,0.12
CUST100800,0,0.12
CUST100801,0,0.35000000000000003
CUST100802,0,0.2
CUST100803,1,0.12
CUST100804,1,0.6
CUST100805,0,0.32
CUST100806,1,0.39
CUST100807,1,0.2
CUST100808,1,0.2
CUST100809,0,0.2
CUST100810,0,0.52
CUST100811,0,0.35000000000000003
CUST100812,0,0.35000000000000003
CUST100813,1,0.42
CUST100814,0,0.32
CUST100815,1,0.3
CUST100816,1,0.27
CUST100817,0,0.2
CUST100818,1,0.32
CUST100819,0,0.22
CUST100820,1,0.2
CUST100821,0,0.3
CUST100822,1,0.27
CUST100823,1,0.12
CUST100824,0,0.27
CUST100825,0,0.47000000000000003
CUST100826,0,0.22
CUST100827,0,0.12
CUST100828,0,0.32
CUST100829,0,0.2
CUST100830,0,0.12
CUST100831,0,0.2
CUST100832,1,0.3
CUST100833,0,0.12
CUST100834,0,0.12
CUST100835,0,0.12
CUST100836,0,0.12
CUST100837,0,0.32
CUST100838,0,0.2
CUST100839,0,0.3
CUST100840,0,0.2
CUST100841,1,0.32
CUST100842,0,0.42
CUST100843,0,0.2
CUST100844,0,0.2
CUST100845,1,0.24
CUST100846,0,0.12
CUST100847,0,0.32
CUST100848,0,0.2
CUST100849,0,0.32
CUST100850,0,0.12
CUST100851,0,0.2
CUST100852,1,0.2
CUST100853,0,0.12
CUST100854,0,0.2
CUST100855,0,0.35000000000000003
CUST100856,0,0.2
CUST100857,1,0.27
CUST100858,0,0.2
CUST100859,1,0.7499999999999999
CUST100860,0,0.3
CUST100861,0,0.12
CUST100862,1,0.45
CUST100863,0,0.2
CUST100864,0,0.12
CUST100865,0,0.2
CUST100866,0,0.35000000000000003
CUST100867,0,0.45
CUST100868,1,0.27
CUST100869,0,0.35000000000000003
CUST100870,1,0.7499999999999999
CUST100871,0,0.22
CUST100872,1,0.3
CUST100873,0,0.2
CUST100874,1,0.35000000000000003
CUST100875,0,0.12
CUST100876,1,0.2
CUST100877,1,0.2
CUST100878,0,0.27
CUST100879,1,0.27
CUST100880,1,0.3
CUST100881,1,0.2
CUST100882,1,0.12
CUST100883,0,0.27
CUST100884,1,0.6499999999999999
CUST100885,1,0.32
CUST100886,0,0.22
CUST100887,0,0.49
CUST100888,0,0.22
CUST100889,1,0.45
CUST100890,0,0.24
CUST100891,1,0.27
CUST100892,0,0.2
CUST100893,0,0.2
CUST100894,0,0.12
CUST100895,0,0.3
CUST100896,0,0.35000000000000003
CUST100897,0,0.2
CUST100898,0,0.33999999999999997
CUST100899,0,0.12
CUST100900,0,0.27
CUST100901,0,0.2
CUST100902,1,0.2
CUST100903,0,0.3
CUST100904,0,0.35000000000000003
CUST100905,0,0.47000000000000003
CUST100906,1,0.33999999999999997
CUST100907,0,0.35000000000000003
CUST100908,0,0.2
CUST100909,0,0.2
CUST100910,0,0.35000000000000003
CUST100911,0,0.45
CUST100912,0,0.45
CUST100913,0,0.2
CUST100914,0,0.2
CUST100915,1,0.2
CUST100916,0,0.22
CUST100917,1,0.12
CUST100918,0,0.24
CUST100919,0,0.27
CUST100920,0,0.2
CUST100921,0,0.12
CUST100922,0,0.2
CUST100923,0,0.2
CUST100924,1,0.2
CUST100925,0,0.22
CUST100926,0,0.32
CUST100927,1,0.35000000000000003
CUST100928,0,0.12
CUST100929,1,0.32
CUST100930,0,0.2
CUST100931,0,0.45
CUST100932,1,0.12
CUST100933,1,0.42
CUST100934,0,0.12
CUST100935,1,0.27
CUST100936,0,0.12
CUST100937,0,0.2
CUST100938,1,0.27
CUST100939,0,0.35000000000000003
CUST100940,0,0.32
CUST100941,0,0.3
CUST100942,0,0.12
CUST100943,0,0.12
CUST100944,1,0.32
CUST100945,0,0.12
CUST100946,0,0.37
CUST100947,0,0.12
CUST100948,0,0.2
CUST100949,0,0.12
CUST100950,0,0.35000000000000003
CUST100951,0,0.2
CUST100952,1,0.24
CUST100953,0,0.2
CUST100954,1,0.27
CUST100955,0,0.12
CUST100956,0,0.45
CUST100957,1,0.24
CUST100958,0,0.22
CUST100959,0,0.2
CUST100960,0,0.2
CUST100961,1,0.42
CUST100962,1,0.32
CUST100963,0,0.22
CUST100964,1,0.32
CUST100965,0,0.2
CUST100966,0,0.33999999999999997
CUST100967,1,0.37
CUST100968,0,0.24
CUST100969,0,0.3
CUST100970,1,0.2
CUST100971,0,0.2
CUST100972,1,0.6499999999999999
CUST100973,0,0.22
CUST100974,0,0.12
CUST100975,1,0.22
CUST100976,0,0.5
CUST100977,0,0.12
CUST100978,0,0.12
CUST100979,0,0.22
CUST100980,0,0.12
CUST100981,0,0.3
CUST100982,1,0.47000000000000003
CUST100983,1,0.35000000000000003
CUST100984,1,0.3
CUST100985,0,0.2
CUST100986,0,0.2
CUST100987,0,0.2
CUST100988,1,0.47000000000000003
CUST100989,1,0.33999999999999997
CUST100990,0,0.6499999999999999
CUST100991,0,0.3
CUST100992,0,0.5
CUST100993,1,0.42
CUST100994,1,0.35000000000000003
CUST100995,1,0.35000000000000003
CUST100996,0,0.12
CUST100997,1,0.33999999999999997
CUST100998,0,0.2
CUST100999,0,0.12
CUST101000,0,0.22
CUST101001,0,0.12
CUST101002,0,0.2
CUST101003,0,0.2
CUST101004,0,0.2
CUST101005,0,0.12
CUST101006,0,0.35000000000000003
CUST101007,0,0.27
CUST101008,1,0.42
CUST101009,0,0.2
CUST101010,1,0.12
CUST101011,0,0.3
CUST101012,0,0.12
CUST101013,0,0.2
CUST101014,1,0.3
CUST101015,1,0.2
CUST101016,1,0.37
CUST101017,0,0.22
CUST101018,0,0.27
CUST101019,0,0.35000000000000003
CUST101020,1,0.6
CUST101021,0,0.22
CUST101022,0,0.2
CUST101023,1,0.57
CUST101024,0,0.12
CUST101025,1,0.32
CUST101026,0,0.12
CUST101027,1,0.37
CUST101028,0,0.3
CUST101029,0,0.2
CUST101030,0,0.12
CUST101031,1,0.37
CUST101032,0,0.37
CUST101033,1,0.7499999999999999
CUST101034,0,0.32
CUST101035,1,0.2
CUST101036,0,0.12
CUST101037,0,0.27
CUST101038,1,0.47000000000000003
CUST101039,0,0.12
CUST101040,0,0.35000000000000003
CUST101041,0,0.12
CUST101042,0,0.24
CUST101043,0,0.12
CUST101044,1,0.5
CUST101045,0,0.12
CUST101046,0,0.47000000000000003
CUST101047,0,0.12
CUST101048,1,0.5
CUST101049,1,0.2
CUST101050,1,0.7499999999999999
CUST101051,0,0.12
CUST101052,1,0.6
CUST101053,0,0.12
CUST101054,0,0.2
CUST101055,0,0.5
CUST101056,0,0.35000000000000003
CUST101057,0,0.12
CUST101058,0,0.3
CUST101059,0,0.3
CUST101060,0,0.2
CUST101061,0,0.12
CUST101062,1,0.35000000000000003
CUST101063,1,0.32
CUST101064,1,0.37
CUST101065,0,0.12
CUST101066,0,0.22
CUST101067,0,0.32
CUST101068,0,0.12
CUST101069,1,0.32
CUST101070,1,0.3
CUST101071,1,0.3
CUST101072,0,0.2
CUST101073,1,0.32
CUST101074,1,0.35000000000000003
CUST101075,1,0.5
CUST101076,0,0.45
CUST101077,0,0.22
CUST101078,0,0.3
CUST101079,0,0.24
CUST101080,0,0.27
CUST101081,0,0.27
CUST101082,1,0.24
CUST101083,0,0.24
CUST101084,0,0.22
CUST101085,0,0.22
CUST101086,1,0.3
CUST101087,0,0.3
CUST101088,1,0.5
CUST101089,0,0.2
CUST101090,0,0.3
CUST101091,0,0.2
CUST101092,0,0.2
CUST101093,0,0.12
CUST101094,0,0.12
CUST101095,0,0.2
CUST101096,0,0.35000000000000003
CUST101097,0,0.32
CUST101098,1,0.22
CUST101099,0,0.2
