ticket_id,customer_id,ticket_date,issue_type,resolution_status
TKT9278,CUST100233,30-01-2025,KYC Query,
TKT9279,CUST100233,28 Jul 2024,Complaint - Hidden Charges,Resolved
TKT9280,CUST100234,21 Jun 2025,Failed transaction ,Resolved
TKT9281,CUST100234,2025-04-06,Complaint - Hidden Charges,Unresolved
TKT9282,CUST100235,04-03-2024,KYC Query,Resolved
TKT9283,CUST100236,2025-05-20,Account Closure Request,Resolved
TKT9284,CUST100236,20 Nov 2025,Account Closure Request,Pending
TKT9285,CUST100236,08-07-2024,Account Closure Request,Pending
TKT9286,CUST100236,01 Sep 2024,Account Closure Request,Resolved
TKT9287,CUST100237,07-10-2024,Complaint - Poor Service,
TKT9288,CUST100237,21-09-2025,App Login Issue,Resolved
TKT9289,CUST100238,2024-06-16,Complaint - Hidden Charges,Resolved
TKT9290,CUST100240,2025-01-27,App Login Issue,
TKT9291,CUST100241,21-05-2024,Card Block Request,Unresolved
TKT9292,CUST100241,18 May 2025,Complaint - Poor Service,Unresolved
TKT9293,CUST100241,09-01-2025,app login issue,Unresolved
TKT9294,CUST100241,2025-07-04,app login issue,Resolved
TKT9295,CUST100245,2024-05-10,Loan Inquiry,Resolved
TKT9296,CUST100247,2025-05-29,Complaint - Poor Service,Resolved
TKT9297,CUST100247,01 Oct 2025,Complaint - Poor Service,Resolved
TKT9298,CUST100247,12-08-2024,Account Closure Request,Resolved
TKT9299,CUST100249,2025-06-13,Complaint - Poor Service,Resolved
TKT9300,CUST100249,01 Nov 2024,Complaint - Poor Service,Unresolved
TKT9301,CUST100250,13-02-2025,Loan Inquiry,Resolved
TKT9302,CUST100250,04 Feb 2025,Failed transaction ,
TKT9303,CUST100251,17 Oct 2025,Complaint - Hidden Charges,Unresolved
TKT9304,CUST100251,24 Dec 2024,Account Closure Request,Resolved
TKT9305,CUST100251,08 Nov 2025,Card Block Request,Resolved
TKT9306,CUST100251,29-08-2024,Complaint - Hidden Charges,Resolved
TKT9307,CUST100252,2025-03-28,Failed Transaction,Unresolved
TKT9308,CUST100252,11-11-2024,Account Closure Request,Resolved
TKT9309,CUST100254,25-02-2025,KYC Query,Resolved
TKT9310,CUST100254,04-09-2024,app login issue,Pending
TKT9311,CUST100255,01 May 2024,KYC Query,Resolved
TKT9312,CUST100255,14-05-2025,Account Closure Request,Resolved
TKT9313,CUST100257,03 Apr 2025,Complaint - Hidden Charges,Resolved
TKT9314,CUST100257,14 Apr 2025,Failed transaction ,Pending
TKT9315,CUST100258,30-10-2024,Card Block Request,Resolved
TKT9316,CUST100259,22-04-2024,KYC Query,Resolved
TKT9317,CUST100260,2024-07-30,App Login Issue,Resolved
TKT9318,CUST100261,2024-09-17,KYC Query,
TKT9319,CUST100261,15-09-2025,Complaint - Hidden Charges,Pending
TKT9320,CUST100261,28 Oct 2025,App Login Issue,Resolved
TKT9321,CUST100261,02-05-2025,Complaint - Poor Service,Unresolved
TKT9322,CUST100262,12-07-2025,Complaint - Poor Service,Resolved
TKT9323,CUST100263,13-04-2025,Complaint - Hidden Charges,Resolved
TKT9324,CUST100263,17 May 2024,Complaint - Hidden Charges,Resolved
TKT9325,CUST100263,17 Feb 2025,app login issue,Unresolved
TKT9326,CUST100264,27 Sep 2025,Complaint - Hidden Charges,Resolved
TKT9327,CUST100265,08-08-2025,Account Closure Request,Resolved
TKT9328,CUST100265,2024-10-27,Failed Transaction,Pending
TKT9329,CUST100266,04 Jul 2024,Complaint - Poor Service,Resolved
TKT9330,CUST100270,02-05-2024,Account Closure Request,Resolved
TKT9331,CUST100270,07-05-2025,Loan Inquiry,Resolved
TKT9332,CUST100271,21-07-2025,Complaint - Hidden Charges,Unresolved
TKT9333,CUST100274,08-12-2024,App Login Issue,Resolved
TKT9334,CUST100274,16 Apr 2025,Account Closure Request,Unresolved
TKT9335,CUST100274,2025-03-19,Card Block Request,Resolved
TKT9336,CUST100275,17-12-2024,Failed transaction ,Resolved
TKT9337,CUST100278,07 Jan 2024,Card Block Request,Unresolved
TKT9338,CUST100278,2024-06-12,Loan Inquiry,
TKT9339,CUST100279,07 Sep 2025,KYC Query,Resolved
TKT9340,CUST100282,07-10-2025,Complaint - Hidden Charges,Resolved
TKT9341,CUST100282,2025-11-05,App Login Issue,Resolved
TKT9342,CUST100283,2024-04-28,Complaint - Hidden Charges,Pending
TKT9343,CUST100283,05-01-2024,Card Block Request,Unresolved
TKT9344,CUST100284,09 May 2024,Complaint - Poor Service,Unresolved
TKT9345,CUST100284,29 Dec 2024,Complaint - Poor Service,Resolved
TKT9346,CUST100287,03 Oct 2025,KYC Query,Resolved
TKT9347,CUST100288,07 Feb 2024,Failed transaction ,
TKT9348,CUST100288,08-08-2024,Account Closure Request,Resolved
TKT9349,CUST100289,21 Apr 2024,KYC Query,Resolved
TKT9350,CUST100289,2024-06-16,App Login Issue,Resolved
TKT9351,CUST100291,29 Sep 2024,Loan Inquiry,Resolved
TKT9352,CUST100291,10-05-2024,Account Closure Request,Unresolved
TKT9353,CUST100292,23 Jun 2025,Account Closure Request,Resolved
TKT9354,CUST100292,2025-04-25,KYC Query,Resolved
TKT9355,CUST100292,2025-03-31,Complaint - Hidden Charges,Resolved
TKT9356,CUST100294,30-05-2025,KYC Query,Resolved
TKT9357,CUST100295,2024-04-19,Complaint - Hidden Charges,Resolved
TKT9358,CUST100295,23 Aug 2024,Failed transaction ,Resolved
TKT9359,CUST100295,11 Jul 2025,KYC Query,Resolved
TKT9360,CUST100296,2024-11-06,Failed transaction ,Resolved
TKT9361,CUST100297,2024-12-22,Card Block Request,Resolved
TKT9362,CUST100298,08 Sep 2025,KYC Query,Resolved
TKT9363,CUST100299,2024-10-29,Account Closure Request,Resolved
TKT9364,CUST100299,27 Feb 2024,Failed Transaction,Pending
TKT9365,CUST100300,18 May 2025,Loan Inquiry,Resolved
TKT9366,CUST100302,2024-01-08,Account Closure Request,Resolved
TKT9367,CUST100302,25-06-2025,app login issue,Resolved
TKT9368,CUST100304,25 Mar 2025,App Login Issue,
TKT9369,CUST100304,24 Dec 2024,app login issue,Pending
TKT9370,CUST100305,2025-04-19,Complaint - Poor Service,
TKT9371,CUST100306,2025-10-11,Account Closure Request,Resolved
TKT9372,CUST100306,2025-02-17,Account Closure Request,Resolved
TKT9373,CUST100307,2024-04-18,Card Block Request,Resolved
TKT9374,CUST100307,13-01-2025,app login issue,Resolved
TKT9375,CUST100309,05 Sep 2024,Complaint - Hidden Charges,Resolved
TKT9376,CUST100309,30-06-2024,Complaint - Poor Service,Pending
TKT9377,CUST100309,11 Aug 2024,Complaint - Hidden Charges,Pending
TKT9378,CUST100312,2024-01-27,KYC Query,Resolved
TKT9379,CUST100312,2024-04-29,Account Closure Request,Pending
TKT9380,CUST100312,2024-05-19,Account Closure Request,Resolved
TKT9381,CUST100312,04-05-2024,Complaint - Poor Service,Resolved
TKT9382,CUST100313,30-08-2025,KYC Query,Resolved
TKT9383,CUST100313,03 Feb 2024,Failed transaction ,Resolved
TKT9384,CUST100313,23 Jan 2025,Complaint - Hidden Charges,Resolved
TKT9385,CUST100315,06 Jun 2024,Failed Transaction,Resolved
TKT9386,CUST100317,2025-01-27,Account Closure Request,
TKT9387,CUST100318,05 Jan 2025,Loan Inquiry,Resolved
TKT9388,CUST100318,24 Mar 2024,app login issue,Resolved
TKT9389,CUST100322,18 May 2025,App Login Issue,Resolved
TKT9390,CUST100326,15-08-2025,Failed transaction ,Pending
TKT9391,CUST100326,20-10-2024,KYC Query,
TKT9392,CUST100328,09 Oct 2025,Loan Inquiry,Unresolved
TKT9393,CUST100328,24-04-2025,Failed Transaction,Unresolved
TKT9394,CUST100330,02-06-2025,Loan Inquiry,Unresolved
TKT9395,CUST100331,2024-07-19,Failed transaction ,Pending
TKT9396,CUST100331,06-02-2025,Account Closure Request,Resolved
TKT9397,CUST100331,11-08-2025,Complaint - Poor Service,Resolved
TKT9398,CUST100332,18 Apr 2025,App Login Issue,Resolved
TKT9399,CUST100333,19 Jun 2024,Account Closure Request,Resolved
TKT9400,CUST100334,11-11-2025,Card Block Request,
TKT9401,CUST100335,15-05-2024,Failed Transaction,Pending
TKT9402,CUST100339,11 Jul 2025,Complaint - Poor Service,Resolved
TKT9403,CUST100339,2024-08-13,KYC Query,Resolved
TKT9404,CUST100340,2024-01-01,Account Closure Request,Resolved
TKT9405,CUST100341,2025-04-10,Complaint - Hidden Charges,Resolved
TKT9406,CUST100341,15-11-2025,Complaint - Hidden Charges,Resolved
TKT9407,CUST100342,2025-02-13,Card Block Request,Resolved
TKT9408,CUST100343,2025-10-08,app login issue,Resolved
TKT9409,CUST100343,12 Apr 2025,Card Block Request,Resolved
TKT9410,CUST100345,10-05-2025,app login issue,Pending
TKT9411,CUST100347,07 Aug 2025,App Login Issue,Resolved
TKT9412,CUST100348,17 Jun 2025,Failed Transaction,Resolved
TKT9413,CUST100348,31 Aug 2025,Card Block Request,
TKT9414,CUST100350,12-02-2024,App Login Issue,Resolved
TKT9415,CUST100350,2024-07-03,Complaint - Hidden Charges,Pending
TKT9416,CUST100350,20 Nov 2024,KYC Query,Resolved
TKT9417,CUST100351,10-01-2024,Failed transaction ,Resolved
TKT9418,CUST100354,2024-12-17,App Login Issue,Pending
TKT9419,CUST100357,24-11-2024,Failed Transaction,Resolved
TKT9420,CUST100358,05-03-2024,KYC Query,Resolved
TKT9421,CUST100359,15-10-2025,KYC Query,Resolved
TKT9422,CUST100359,08 Jul 2025,Complaint - Poor Service,Resolved
